"","Name","Database_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Direction"
"1","ARF5","ENSP00000000233.5",0.46596596560206,0.278024239570248,4.92758904951471,3.1135130734261e-06,1.57630880482121e-05,3.89594085868621,"up"
"2","M6PR","ENSP00000000412.3",0.305086439226374,0.200755083862974,3.19744848416238,0.00183168387832831,0.00471353318023152,-2.15321229471948,"up"
"3","FKBP4","ENSP00000001008.4",0.661502623908944,-0.244327422296847,5.07529367967721,1.67707401458747e-06,8.97586924277949e-06,4.4928096254648,"up"
"4","NDUFAF7","ENSP00000002125.4",-0.0360145079804678,0.0639730922802711,-0.405135199850504,0.686200693354109,0.754299657572027,-6.95700440793376,"down"
"5","FUCA2","ENSP00000002165.5",0.295602733664711,0.138201523840424,2.39546923447141,0.0183663217694012,0.0352941069363049,-4.24080961492686,"up"
"6","CYP51A1","ENSP00000003100.8",-0.0140742672285241,0.23555128548849,-0.125538301835564,0.900337000099455,0.927871578257837,-7.03126850044724,"down"
"7","USP28","ENSP00000003302.4",0.3082483933718,0.0632371827820811,3.09375199148469,0.00253174890043315,0.006265867305417,-2.4517056394424,"up"
"8","HSPB6","ENSP00000004982.3",-2.72353050302598,-0.479157048824275,-13.2889970504175,3.0219620359103e-24,1.4805289389779e-21,44.6141911881602,"down"
"9","RALA","ENSP00000005257.2",0.472387821501733,0.386517745892497,4.19072488739311,5.80459054478424e-05,0.000220581367420828,1.09195809375043,"up"
"10","BAIAP2L1","ENSP00000005260.8",0.52756982419772,-0.10802371542634,4.57680897334556,1.29786270738825e-05,5.74832238063685e-05,2.52344126358345,"up"
"11","DVL2","ENSP00000005340.4",0.00148078164652923,-0.100839444653405,0.0178077510385236,0.985825939374557,0.990022927763569,-7.03900393668444,"up"
"12","RPAP3","ENSP00000005386.3",0.342985112216953,0.0719413760386358,4.67061253560919,8.90841638950865e-06,4.1054778570753e-05,2.8844689742892,"up"
"13","SKAP2","ENSP00000005587.2",-0.141785864281236,-0.170388043591676,-1.02094992356974,0.309620259144647,0.397414637342253,-6.5195933519095,"down"
"14","WDR54","ENSP00000006526.6",-0.0843763049775229,-0.0906089560378238,-0.64250493762544,0.52194317128158,0.609731485306746,-6.83277243454616,"down"
"15","SPATA20","ENSP00000006658.6",-0.0652230130998248,0.0550673154125617,-0.602001627953693,0.548468323177865,0.634088718518755,-6.85793019866848,"down"
"16","RHBDD2","ENSP00000006777.6",0.924868666733972,0.0554427909753405,6.3806160893026,4.83019428179538e-09,5.00219632207395e-08,10.1774674729977,"up"
"17","NDUFAB1","ENSP00000007516.2",0.649327278984467,0.0505333444996023,4.40850133368928,2.51824863415542e-05,0.000104759801116498,1.88875693779533,"up"
"18","STARD3NL","ENSP00000009041.7",-0.186197276854706,0.155553588518966,-1.81614521065375,0.0721960251388193,0.115998103962952,-5.41240565022561,"down"
"19","CD9","ENSP00000009180.4",0.497832904406715,0.138927658787171,2.61874059221356,0.0101282004638737,0.0210050500665619,-3.71189501830643,"up"
"20","CD74","ENSP00000009530.7",0.487540246073953,0.00251411714309044,3.25360275943449,0.00153251113355828,0.00399859213831736,-1.98819716268343,"up"
"21","RPS20","ENSP00000009589.3",0.351612703332855,-0.239025041867313,3.82992123452789,0.000218207012295912,0.000717110661152044,-0.163754047211061,"up"
"22","MGST1","ENSP00000010404.2",-0.428161873289914,-0.0194811117218993,-1.75876429178057,0.0815253250281474,0.129090268976528,-5.51211368347182,"down"
"23","RANBP9","ENSP00000011619.3",0.0858660866507423,-0.0327526360067247,1.52336292338643,0.130666777747244,0.192955415597541,-5.88937387287273,"up"
"24","CD4","ENSP00000011653.4",-0.114391828545719,0.0919718480025374,-0.870571895243419,0.385970164467655,0.475758462840041,-6.66086710839244,"down"
"25","TSPAN9","ENSP00000011898.5",-0.737465494133319,0.230892461906108,-5.25640221195415,7.74955175375237e-07,4.47073325359138e-06,5.23903907450748,"down"
"26","QPCTL","ENSP00000012049.4",0.0279399912274834,0.0197540088352225,0.356974086781307,0.721825870537658,0.78487445805379,-6.97536583212626,"up"
"27","PPP5C","ENSP00000012443.4",0.106556811124228,0.202785727139621,1.42690752512002,0.156566228729542,0.224993301168424,-6.02901589744538,"up"
"28","NME1","ENSP00000013034.3",0.613596389397592,-0.0458631951846723,6.1166820129211,1.65520443097596e-08,1.47854095664599e-07,8.97583380275115,"up"
"29","UBR7","ENSP00000013070.6",0.124759712053124,-0.0318010712569801,1.36325461712433,0.175712686035586,0.2481405980844,-6.11635648815197,"up"
"30","MAP4K5","ENSP00000013125.4",-0.0919740980599332,0.0554338918470135,-1.0217650809916,0.309235698298285,0.39719802683406,-6.51876777612649,"down"
"31","PTBP1","ENSP00000014112.5",0.335641718921004,-0.0502667176684224,5.94760811663097,3.59661620091542e-08,2.89593534559169e-07,8.21964830324787,"up"
"32","GPRC5A","ENSP00000014914.6",0.108448323893176,-0.211199296408801,0.415474347920195,0.678640900938977,0.747925921107517,-6.95276089822295,"up"
"33","HEBP1","ENSP00000014930.4",0.123189069390163,0.0173803969225821,0.961442526614057,0.3385343738551,0.426955530115471,-6.57813742768222,"up"
"34","COX15","ENSP00000016171.6",-0.106276354575121,0.0712619894952891,-1.07565027329736,0.284544422692356,0.370167444808057,-6.46274093199094,"down"
"35","FTSJ1","ENSP00000019019.2",0.182072546582347,0.0968133677868456,2.02941649801423,0.0449403687845462,0.077216479889563,-5.01564402926373,"up"
